Name,Fortune,Change,Tax,Age,Type
Jan Petter Collier,"3,30 mrd","+0,25 mrd",0 mill,75,Finans
Brynjar Kristian Forbergskog,"3,20 mrd","+0,35 mrd",0 mill,67,Hotell/Reiseliv
Knut Flakk,"3,20 mrd","0,00 mrd",0 mill,65,Industri
Ole G. Ottersland,"3,20 mrd","-0,50 mrd",0 mill,77,Eiendom
Hans Jørgen Lorentzen,"3,10 mrd","+0,25 mrd",0 mill,83,Handel
Sverre Lorentzen,"3,10 mrd","+0,20 mrd",0 mill,81,Handel
Jan Haudemann-Andersen,"3,00 mrd","-1,30 mrd",0 mill,67,Finans
Per Grieg jr.,"3,00 mrd","-0,45 mrd",0 mill,68,Sjømat
Rolf Westfal-Larsen,"3,00 mrd","+0,80 mrd",0 mill,82,Shipping
Camilla Marianne Grieg,"2,95 mrd","-0,50 mrd",0 mill,61,Sjømat
Karen Margrethe Westfal-Larsen,"2,95 mrd","+0,85 mrd",0 mill,89,Shipping
Trond Eirik Paulsen,"2,95 mrd","+0,20 mrd",0 mill,53,Industri
Elisabeth Grieg,"2,90 mrd","-0,20 mrd",0 mill,66,Shipping
Lars Løseth,"2,90 mrd","+0,20 mrd",0 mill,75,Eiendom
Marianne Odfjell,"2,90 mrd","+0,30 mrd",0 mill,55,Shipping
Tom Hagen,"2,90 mrd","+0,30 mrd",0 mill,75,Eiendom
Bjarne Skeie,"2,85 mrd","-0,75 mrd",0 mill,80,Olje og energi
Johannes Østensjø,"2,85 mrd","+0,10 mrd",0 mill,82,Shipping
Tor Dagfinn Veen,"2,85 mrd","+0,25 mrd",0 mill,78,Finans
Dag Leo Martinsen,"2,80 mrd","-0,20 mrd",0 mill,63,Handel
June Møgster,"2,80 mrd","+0,50 mrd",0 mill,67,Sjømat
Lill Maren Møgster,"2,80 mrd","+0,60 mrd",0 mill,41,Sjømat
Svenn Kornelius Bekken,"2,80 mrd","-0,15 mrd",0 mill,74,Industri
Tore Odfjell,"2,80 mrd","0,00 mrd",0 mill,56,Eiendom
Einar Øgrey Brandsdal,"2,75 mrd","-0,90 mrd",0 mill,50,Handel
Elna-Kathrine Grieg,"2,70 mrd","-0,20 mrd",0 mill,58,Sjømat
Olav Svendsen,"2,70 mrd","+0,20 mrd",0 mill,67,Sjømat
Knut Øgreid,"2,65 mrd","+0,75 mrd",0 mill,75,Finans
Ragnar Horn,"2,65 mrd","+0,65 mrd",0 mill,64,Finans
Arne Græe,"2,60 mrd","+0,20 mrd",0 mill,66,Finans
Bjørn Risa,"2,60 mrd","+0,20 mrd",0 mill,51,Industri
Carl Erik Krefting,"2,60 mrd","-0,40 mrd",0 mill,72,Eiendom
Erik Bøhler,"2,60 mrd","-0,20 mrd",0 mill,77,Eiendom
Geir Egil Roksvåg,"2,60 mrd","+0,55 mrd",0 mill,71,Industri
Jens Dag Ulltveit-Moe,"2,60 mrd","+0,15 mrd",0 mill,83,Handel
Lars Kristoffer Loe,"2,60 mrd","+0,05 mrd",0 mill,55,Industri
Ole Peter Lorentzen,"2,60 mrd","+0,55 mrd",0 mill,72,Finans
Steinar Moe,"2,60 mrd","+0,05 mrd",0 mill,71,Handel
Bjørn Nicolaisen,"2,55 mrd","-0,05 mrd",0 mill,73,Handel
